Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio
FURTO DE VEÍCULO;37;25;21;27;23;26;30;21;16;18;21;33;298;2023;Piracicaba;Araras
HOMICÍDIO DOLOSO (2);0;1;0;1;0;1;0;0;0;0;0;0;3;2023;Piracicaba;Artur Nogueira
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;1;0;1;0;0;0;0;0;0;3;2023;Piracicaba;Artur Nogueira
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;2;1;1;1;0;0;0;0;1;1;2;10;2023;Piracicaba;Artur Nogueira
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;1;0;1;0;0;2;2023;Piracicaba;Artur Nogueira
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
LESÃO CORPORAL DOLOSA;17;17;13;15;17;13;18;16;23;15;25;15;204;2023;Piracicaba;Artur Nogueira
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;5;7;6;6;3;11;14;4;12;8;7;89;2023;Piracicaba;Artur Nogueira
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
TOTAL DE ESTUPRO (4);2;2;0;2;1;4;0;3;4;2;0;2;22;2023;Piracicaba;Artur Nogueira
ESTUPRO;0;0;0;1;0;2;0;0;1;0;0;0;4;2023;Piracicaba;Artur Nogueira
ESTUPRO DE VULNERÁVEL;2;2;0;1;1;2;0;3;3;2;0;2;18;2023;Piracicaba;Artur Nogueira
TOTAL DE ROUBO - OUTROS (1);6;1;4;5;2;3;5;3;2;6;3;4;44;2023;Piracicaba;Artur Nogueira
ROUBO - OUTROS;6;1;4;4;2;3;3;3;2;6;1;4;39;2023;Piracicaba;Artur Nogueira
ROUBO DE VEÍCULO;0;1;1;1;1;2;2;0;1;3;4;5;21;2023;Piracicaba;Artur Nogueira
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Artur Nogueira
ROUBO DE CARGA;0;0;0;1;0;0;2;0;0;0;2;0;5;2023;Piracicaba;Artur Nogueira
FURTO - OUTROS;30;30;33;36;30;19;38;32;16;74;34;41;413;2023;Piracicaba;Artur Nogueira
FURTO DE VEÍCULO;12;7;3;6;9;8;7;9;6;8;6;4;85;2023;Piracicaba;Artur Nogueira
HOMICÍDIO DOLOSO (2);0;0;1;0;0;0;0;1;0;1;0;0;3;2023;Piracicaba;Brotas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;0;0;0;1;0;1;0;0;3;2023;Piracicaba;Brotas
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Brotas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Brotas
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;0;0;0;1;1;1;0;0;4;2023;Piracicaba;Brotas
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Piracicaba;Brotas
TENTATIVA DE HOMICÍDIO;0;0;0;0;1;0;0;0;1;2;1;0;5;2023;Piracicaba;Brotas
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Brotas
LESÃO CORPORAL DOLOSA;6;5;9;5;4;8;6;7;7;10;3;7;77;2023;Piracicaba;Brotas
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;0;2;1;0;1;0;2;1;2;1;3;15;2023;Piracicaba;Brotas
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;2;0;2;2023;Piracicaba;Brotas
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Brotas
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Brotas
TOTAL DE ESTUPRO (4);0;2;0;0;1;1;0;2;1;1;0;1;9;2023;Piracicaba;Brotas
ESTUPRO;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Piracicaba;Brotas
ESTUPRO DE VULNERÁVEL;0;2;0;0;1;1;0;2;1;0;0;1;8;2023;Piracicaba;Brotas
TOTAL DE ROUBO - OUTROS (1);1;3;2;1;1;0;1;4;2;4;3;4;26;2023;Piracicaba;Brotas
ROUBO - OUTROS;1;3;2;1;1;0;0;4;2;4;3;4;25;2023;Piracicaba;Brotas
ROUBO DE VEÍCULO;1;0;0;0;0;0;1;0;0;0;0;1;3;2023;Piracicaba;Brotas
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Brotas
ROUBO DE CARGA;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Piracicaba;Brotas
FURTO - OUTROS;14;22;21;10;19;24;12;18;17;23;16;8;204;2023;Piracicaba;Brotas
FURTO DE VEÍCULO;2;0;1;0;6;0;1;0;1;3;0;0;14;2023;Piracicaba;Brotas
HOMICÍDIO DOLOSO (2);0;1;0;0;0;2;0;0;0;0;0;0;3;2023;Piracicaba;Caconde
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;3;0;0;0;2;0;0;0;0;0;0;5;2023;Piracicaba;Caconde
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;0;0;2;0;0;3;2023;Piracicaba;Caconde
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;0;0;0;1;1;0;0;3;2023;Piracicaba;Caconde
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
LESÃO CORPORAL DOLOSA;5;4;3;7;5;6;4;4;7;8;4;5;62;2023;Piracicaba;Caconde
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;2;0;1;2;4;0;2;1;4;0;3;21;2023;Piracicaba;Caconde
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;1;0;0;1;0;0;3;2023;Piracicaba;Caconde
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
TOTAL DE ESTUPRO (4);1;1;0;0;2;2;0;1;0;2;0;0;9;2023;Piracicaba;Caconde
ESTUPRO;1;1;0;0;0;0;0;1;0;2;0;0;5;2023;Piracicaba;Caconde
ESTUPRO DE VULNERÁVEL;0;0;0;0;2;2;0;0;0;0;0;0;4;2023;Piracicaba;Caconde
TOTAL DE ROUBO - OUTROS (1);2;1;0;0;0;0;0;0;1;2;3;2;11;2023;Piracicaba;Caconde
ROUBO - OUTROS;2;1;0;0;0;0;0;0;1;2;3;2;11;2023;Piracicaba;Caconde
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Piracicaba;Caconde
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Caconde
FURTO - OUTROS;11;4;5;4;9;4;8;9;8;9;10;7;88;2023;Piracicaba;Caconde
FURTO DE VEÍCULO;0;1;0;0;1;0;1;1;1;1;0;0;6;2023;Piracicaba;Caconde
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Piracicaba;Capivari
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Piracicaba;Capivari
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;0;0;0;2;0;1;0;0;5;2023;Piracicaba;Capivari
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
TENTATIVA DE HOMICÍDIO;1;0;0;1;0;0;0;0;0;0;2;0;4;2023;Piracicaba;Capivari
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
LESÃO CORPORAL DOLOSA;19;22;22;23;9;16;7;16;19;14;24;22;213;2023;Piracicaba;Capivari
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;4;12;6;10;12;15;9;9;9;12;23;124;2023;Piracicaba;Capivari
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;1;1;0;0;0;0;2;2023;Piracicaba;Capivari
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;1;1;0;0;0;0;2;2023;Piracicaba;Capivari
TOTAL DE ROUBO - OUTROS (1);1;5;1;1;4;1;1;1;4;2;2;1;24;2023;Piracicaba;Capivari
ROUBO - OUTROS;1;4;1;1;3;1;1;1;4;2;2;1;22;2023;Piracicaba;Capivari
ROUBO DE VEÍCULO;1;2;0;0;1;0;0;0;0;1;1;0;6;2023;Piracicaba;Capivari
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Capivari
ROUBO DE CARGA;0;1;0;0;1;0;0;0;0;0;0;0;2;2023;Piracicaba;Capivari
FURTO - OUTROS;20;15;23;22;19;26;23;26;16;22;22;26;260;2023;Piracicaba;Capivari
FURTO DE VEÍCULO;4;3;3;6;9;4;2;4;0;6;2;7;50;2023;Piracicaba;Capivari
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;1;0;3;3;0;0;8;2023;Piracicaba;Casa Branca
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Piracicaba;Casa Branca
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
LESÃO CORPORAL DOLOSA;14;17;14;9;12;15;15;10;9;12;10;14;151;2023;Piracicaba;Casa Branca
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;2;1;2;6;2;2;2;4;8;1;0;31;2023;Piracicaba;Casa Branca
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;1;1;2023;Piracicaba;Casa Branca
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
TOTAL DE ESTUPRO (4);1;3;0;2;0;1;0;0;0;0;0;0;7;2023;Piracicaba;Casa Branca
ESTUPRO;0;2;0;0;0;0;0;0;0;0;0;0;2;2023;Piracicaba;Casa Branca
ESTUPRO DE VULNERÁVEL;1;1;0;2;0;1;0;0;0;0;0;0;5;2023;Piracicaba;Casa Branca
TOTAL DE ROUBO - OUTROS (1);3;0;2;2;1;1;1;0;1;2;3;1;17;2023;Piracicaba;Casa Branca
ROUBO - OUTROS;3;0;2;2;1;1;0;0;0;2;3;1;15;2023;Piracicaba;Casa Branca
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;1;0;1;2;2023;Piracicaba;Casa Branca
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Casa Branca
ROUBO DE CARGA;0;0;0;0;0;0;1;0;1;0;0;0;2;2023;Piracicaba;Casa Branca
FURTO - OUTROS;26;28;30;18;11;27;28;10;13;19;16;14;240;2023;Piracicaba;Casa Branca
FURTO DE VEÍCULO;0;1;3;1;1;0;2;3;1;5;0;4;21;2023;Piracicaba;Casa Branca
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Piracicaba;Charqueada
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Piracicaba;Charqueada
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;0;0;1;0;1;0;0;0;4;2023;Piracicaba;Charqueada
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
LESÃO CORPORAL DOLOSA;3;5;2;3;6;1;6;2;4;3;6;6;47;2023;Piracicaba;Charqueada
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;0;1;2;2;2;0;0;0;0;1;0;10;2023;Piracicaba;Charqueada
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
TOTAL DE ESTUPRO (4);1;0;1;0;0;0;1;0;2;1;0;0;6;2023;Piracicaba;Charqueada
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
ESTUPRO DE VULNERÁVEL;1;0;1;0;0;0;1;0;2;1;0;0;6;2023;Piracicaba;Charqueada
TOTAL DE ROUBO - OUTROS (1);0;1;1;2;0;2;1;2;1;1;1;1;13;2023;Piracicaba;Charqueada
ROUBO - OUTROS;0;1;1;2;0;2;1;2;0;1;1;1;12;2023;Piracicaba;Charqueada
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;1;1;1;0;3;2023;Piracicaba;Charqueada
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Charqueada
ROUBO DE CARGA;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Piracicaba;Charqueada
FURTO - OUTROS;14;11;17;10;13;16;16;12;6;10;13;8;146;2023;Piracicaba;Charqueada
FURTO DE VEÍCULO;0;0;0;0;0;1;0;0;0;0;0;1;2;2023;Piracicaba;Charqueada
HOMICÍDIO DOLOSO (2);0;0;1;0;1;0;1;0;1;0;0;0;4;2023;Piracicaba;Conchal
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;1;0;1;0;1;0;0;0;4;2023;Piracicaba;Conchal
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;1;1;0;0;0;0;1;0;1;4;2023;Piracicaba;Conchal
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
LESÃO CORPORAL DOLOSA;14;8;11;11;8;10;9;11;11;9;10;11;123;2023;Piracicaba;Conchal
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;1;3;3;2;2;7;2;2;7;2;3;37;2023;Piracicaba;Conchal
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
TOTAL DE ESTUPRO (4);3;1;0;1;0;0;0;0;1;0;0;1;7;2023;Piracicaba;Conchal
ESTUPRO;2;0;0;0;0;0;0;0;0;0;0;1;3;2023;Piracicaba;Conchal
ESTUPRO DE VULNERÁVEL;1;1;0;1;0;0;0;0;1;0;0;0;4;2023;Piracicaba;Conchal
TOTAL DE ROUBO - OUTROS (1);4;1;2;4;0;0;6;1;1;5;2;4;30;2023;Piracicaba;Conchal
ROUBO - OUTROS;4;1;2;4;0;0;6;1;1;5;2;4;30;2023;Piracicaba;Conchal
ROUBO DE VEÍCULO;2;1;1;3;0;1;2;1;0;1;3;2;17;2023;Piracicaba;Conchal
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Conchal
FURTO - OUTROS;37;27;23;20;27;25;17;19;18;31;34;25;303;2023;Piracicaba;Conchal
FURTO DE VEÍCULO;2;5;2;3;3;1;2;2;1;0;4;1;26;2023;Piracicaba;Conchal
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;1;2;2023;Piracicaba;Cordeirópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;1;2;2023;Piracicaba;Cordeirópolis
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;2;0;0;1;1;0;2;2;1;0;11;2023;Piracicaba;Cordeirópolis
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;1;0;0;0;1;0;2;2023;Piracicaba;Cordeirópolis
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
LESÃO CORPORAL DOLOSA;14;9;14;10;10;6;10;10;10;7;15;9;124;2023;Piracicaba;Cordeirópolis
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;6;6;2;7;8;8;6;4;9;6;5;71;2023;Piracicaba;Cordeirópolis
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Piracicaba;Cordeirópolis
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
TOTAL DE ESTUPRO (4);0;0;1;0;1;1;1;0;2;0;1;0;7;2023;Piracicaba;Cordeirópolis
ESTUPRO;0;0;0;0;0;0;0;0;1;0;1;0;2;2023;Piracicaba;Cordeirópolis
ESTUPRO DE VULNERÁVEL;0;0;1;0;1;1;1;0;1;0;0;0;5;2023;Piracicaba;Cordeirópolis
TOTAL DE ROUBO - OUTROS (1);2;6;3;1;2;2;1;3;1;0;2;4;27;2023;Piracicaba;Cordeirópolis
ROUBO - OUTROS;2;4;3;0;1;2;1;0;0;0;1;4;18;2023;Piracicaba;Cordeirópolis
ROUBO DE VEÍCULO;1;0;0;0;2;1;2;0;0;2;1;2;11;2023;Piracicaba;Cordeirópolis
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cordeirópolis
ROUBO DE CARGA;0;2;0;1;1;0;0;3;1;0;1;0;9;2023;Piracicaba;Cordeirópolis
FURTO - OUTROS;16;17;16;12;10;15;12;13;24;20;11;18;184;2023;Piracicaba;Cordeirópolis
FURTO DE VEÍCULO;4;2;1;3;2;2;3;3;1;6;2;0;29;2023;Piracicaba;Cordeirópolis
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Piracicaba;Corumbataí
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
LESÃO CORPORAL DOLOSA;2;0;0;2;3;1;1;1;2;4;3;0;19;2023;Piracicaba;Corumbataí
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;1;1;1;0;0;3;1;1;0;0;2;11;2023;Piracicaba;Corumbataí
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
TOTAL DE ROUBO - OUTROS (1);0;0;1;1;1;0;0;0;0;0;0;0;3;2023;Piracicaba;Corumbataí
ROUBO - OUTROS;0;0;1;1;0;0;0;0;0;0;0;0;2;2023;Piracicaba;Corumbataí
ROUBO DE VEÍCULO;1;0;0;0;0;0;0;1;1;1;0;0;4;2023;Piracicaba;Corumbataí
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Corumbataí
ROUBO DE CARGA;0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Piracicaba;Corumbataí
FURTO - OUTROS;3;1;4;5;5;5;1;3;1;4;3;3;38;2023;Piracicaba;Corumbataí
FURTO DE VEÍCULO;0;1;0;0;0;0;2;0;0;1;2;1;7;2023;Piracicaba;Corumbataí
HOMICÍDIO DOLOSO (2);1;2;0;0;0;0;0;0;0;0;1;1;5;2023;Piracicaba;Cosmópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;3;0;0;0;0;0;0;0;0;1;1;6;2023;Piracicaba;Cosmópolis
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cosmópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cosmópolis
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;1;2;0;0;0;0;0;0;2;6;2023;Piracicaba;Cosmópolis
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;1;0;0;1;2023;Piracicaba;Cosmópolis
TENTATIVA DE HOMICÍDIO;0;0;1;0;1;1;0;0;2;2;1;0;8;2023;Piracicaba;Cosmópolis
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Piracicaba;Cosmópolis
LESÃO CORPORAL DOLOSA;20;13;22;18;18;22;16;26;12;23;19;21;230;2023;Piracicaba;Cosmópolis
